stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,departement,source_gtfs
UT21:05512,Clair Vallon -,47.381,5.064622,,0,UT21:ST:03866,0,region,region_lignes_regulieres
UT21:05513,Ecole -,47.379676,5.069224,,0,UT21:ST:03728,0,region,region_lignes_regulieres
UT21:05516,Mairey -,47.300863,5.017283,,0,UT21:ST:05516,0,region,region_lignes_regulieres
UT21:05517,Route de Beaune -,47.287774,5.012543,,0,UT21:ST:05517,0,region,region_lignes_regulieres
UT21:05518,D974 -,47.193905,4.968945,,0,UT21:ST:05518,1,region,region_lignes_regulieres
UT21:05519,Calvaire -,47.186449,4.960595,,0,UT21:ST:05519,0,region,region_lignes_regulieres
UT21:05521,Croix de mission -,47.10837,4.669616,,0,UT21:ST:05521,0,region,region_lignes_regulieres
UT21:05522,Oucherotte -,47.12206,4.671884,,0,UT21:ST:05522,0,region,region_lignes_regulieres
UT21:05523,Pont de Pany Gare -,47.297707,4.815431,,0,UT21:ST:05523,0,region,region_lignes_regulieres
UT21:05524,Pont de Pany Centre,47.296839,4.808571,,0,UT21:ST:05524,0,region,region_lignes_regulieres
UT21:05525,Cercey -,47.267094,4.52484,,0,UT21:ST:05525,0,region,region_lignes_regulieres
UT21:05526,Reine de Dijon -,47.306565,4.85083,,0,UT21:ST:05526,0,region,region_lignes_regulieres
UT21:05527,Parc de l' Auxois -,47.451699,4.505069,,0,UT21:ST:05527,1,region,region_lignes_regulieres
UT21:05536,Place -,47.17278,5.162615,,0,UT21:ST:05536,1,region,region_lignes_regulieres
UT21:05537,Collège Monge -,47.04061,4.837944,,0,UT21:ST:05537,1,region,region_lignes_regulieres
UT21:05548,Jouvence -,47.411549,5.009502,,0,UT21:ST:05548,0,region,region_lignes_regulieres
UT21:06792,Actipôle -,47.877339,4.564943,,0,UT21:ST:06792,1,region,region_lignes_regulieres
UT21:06793,Eglise,47.820848,4.706241,,0,UT21:ST:06793,0,region,region_lignes_regulieres
UT21:06794,Route de Langres -,47.846728,4.67764,,0,UT21:ST:06794,0,region,region_lignes_regulieres
UT21:06796,Essertenne et Cessey -,47.397301,5.478028,,0,UT21:ST:06796,0,region,region_lignes_regulieres
UT21:06798,Toison d'or -,47.352926,5.0534,,0,UT21:ST:06798,1,region,region_lignes_regulieres
UT21:06799,Wilson Sisley -,47.316189,5.042401,,0,UT21:ST:06799,1,region,region_lignes_regulieres
UT21:06806,Zone commerciale Savigny -,47.041347,4.843014,,0,UT21:ST:06806,1,region,region_lignes_regulieres
UT21:06807,Monument aux morts -,47.027967,4.836967,,0,UT21:ST:06807,0,region,region_lignes_regulieres
UT21:06808,Hôpital -,47.032089,4.834498,,0,UT21:ST:06808,0,region,region_lignes_regulieres
UT21:06812,Saint Mesmin -,47.332536,5.018156,,0,UT21:ST:06812,0,region,region_lignes_regulieres
UT21:06813,Auxonne Gare -,47.193275,5.377224,,0,UT21:ST:06813,1,region,region_lignes_regulieres
